Date,Product,Category,Region,Sales,Quantity,Profit
2023-01-01,Laptop Pro,Electronics,North,1200,5,300
2023-01-02,Office Chair,Furniture,East,800,10,150
2023-01-03,Wireless Mouse,Electronics,South,25,50,10
2023-01-04,Mechanical Keyboard,Electronics,West,150,20,50
2023-01-05,Wooden Desk,Furniture,North,500,4,100
2023-01-06,Laptop Stand,Electronics,East,45,15,20
2023-01-07,Gaming Monitor,Electronics,South,400,8,80
2023-01-08,Ergonomic Mouse,Electronics,West,60,12,25
2023-01-09,Coffee Table,Furniture,North,200,3,60
2023-01-10,Headphones,Electronics,East,100,25,30
