order_id,customer_id,product_id,order_date,quantity,total_amount
1,8,16,2023-10-10,2,80
2,37,10,2024-10-20,5,125
3,27,14,2024-06-26,4,480
4,19,19,2024-11-04,4,100
5,42,5,2024-02-20,3,1497
6,39,13,2023-01-19,1,80
7,47,11,2023-07-28,1,20
8,25,20,2023-01-07,5,300
9,10,13,2023-08-23,5,400
10,31,15,2024-07-19,1,60
11,23,10,2023-07-22,4,100
12,37,17,2023-12-31,3,240
13,29,1,2023-12-06,4,3996
14,36,4,2024-02-10,1,699
15,26,13,2023-09-18,5,400
16,13,18,2024-03-07,4,400
17,38,4,2024-06-06,2,1398
18,40,16,2024-04-25,4,160
19,3,1,2024-01-05,2,1998
20,20,14,2023-08-14,2,240
21,25,6,2024-11-19,2,58
22,8,3,2024-03-15,1,199
23,3,2,2023-02-12,3,3897
24,15,15,2023-01-30,5,300
25,13,13,2023-02-14,3,240
26,11,14,2023-01-15,5,600
27,3,12,2023-09-03,2,100
28,20,13,2023-03-23,2,160
29,4,6,2023-06-24,1,29
30,41,6,2024-08-07,1,29
31,10,16,2024-02-27,1,40
32,44,3,2024-11-21,4,796
33,26,20,2023-03-09,1,60
34,40,3,2023-06-16,3,597
35,6,1,2023-07-13,5,4995
36,24,8,2024-09-02,4,60
37,6,4,2023-05-23,4,2796
38,23,6,2024-03-13,4,116
39,10,12,2024-01-05,5,250
40,19,7,2023-04-30,2,90
41,31,20,2024-01-19,4,240
42,14,11,2024-11-28,2,40
43,34,20,2023-05-21,1,60
44,43,13,2024-08-19,1,80
45,32,7,2023-07-06,4,180
46,17,4,2024-08-07,4,2796
47,23,3,2024-01-08,4,796
48,15,17,2024-07-31,4,320
49,20,20,2023-02-20,4,240
50,46,9,2023-11-06,3,105
51,40,2,2024-06-29,1,1299
52,45,6,2023-07-22,5,145
53,5,11,2024-03-19,2,40
54,46,9,2024-03-12,1,35
55,3,9,2023-11-22,1,35
56,22,20,2023-08-11,3,180
57,38,8,2023-09-05,2,30
58,45,19,2024-08-17,4,100
59,46,12,2023-12-06,4,200
60,36,17,2023-03-04,3,240
61,46,10,2023-01-30,5,125
62,49,3,2024-03-06,5,995
63,21,12,2023-12-09,3,150
64,10,19,2024-04-27,2,50
